853810"2018902021"Repeat Offender"4021 9TH ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
791628"2017903795"Repeat Offender"1534 ABBEY RD, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"DEMAND LETTER"08/18/2017"DEMAND LETTER"08/18/2017"COMMENT"08/01/2017"COMMENT"06/09/2017"MAIL CORRESPONDANCE"05/31/2017"COMMENT"05/25/2017"BILLED"05/22/2017"MAIL CORRESPONDANCE"05/12/2017"COMMENT"05/04/2017"COMMENT"04/17/2017"COMMENT"03/13/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/11/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791282"2017903796"Repeat Offender"1570 ABBEY RD, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"LETTER RETURNED"06/25/2017"DEMAND LETTER"06/14/2017"COMMENT"06/09/2017"COMMENT"05/25/2017"COMMENT"05/08/2017"MAIL CORRESPONDANCE"04/28/2017"COMMENT"04/17/2017"BILLED"03/29/2017"MAIL CORRESPONDANCE"03/14/2017"COMMENT"03/13/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/11/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
775224"2016923614"Repeat Offender"1570 ABBEY RD, HARVEY"10/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/26/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/15/2017"DEMAND LETTER"02/06/2017"
769974"2016921719"Repeat Offender"1570 ABBEY RD, HARVEY"9/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/28/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"02/15/2017"DEMAND LETTER"02/07/2017"
766537"2016920367"Repeat Offender"1570 ABBEY RD, HARVEY"9/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/13/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/26/2017"DEMAND LETTER"01/10/2017"
759513"2016917757"Repeat Offender"1570 ABBEY RD, HARVEY"8/10/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/10/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"01/26/2017"DEMAND LETTER"01/04/2017"
748547"2016913408"Repeat Offender"1570 ABBEY RD, HARVEY"6/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/22/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/10/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
743030"2016911162"Repeat Offender"1570 ABBEY RD, HARVEY"5/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/27/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/21/2016"ADVALOREM TAX ORDINANCE"05/03/2017"
736470"2016908498"Repeat Offender"1570 ABBEY RD, HARVEY"4/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/27/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/08/2016"
720569"2016902446"Repeat Offender"1570 ABBEY RD, HARVEY"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"DEMAND LETTER"07/25/2016"COMMENT"07/14/2016"MAIL CORRESPONDANCE"07/06/2016"COMMENT"06/27/2016"COMMENT"06/14/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/18/2016"BILLED"03/24/2016"COMMENT"03/15/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/09/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
854448"2018901770"Repeat Offender"1232 ABERDEEN DR, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"
853966"2018901887"Repeat Offender"1200 ABERDEEN DR, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"
854471"2018902123"Repeat Offender"1201 ABERDEEN DR, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"
853945"2018902318"Repeat Offender"1255 ABERDEEN DR, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"
849334"2017924409"Repeat Offender"1232 ABERDEEN DR, HARVEY"11/14/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"11/14/2017"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"LETTER RETURNED"02/02/2018"DEMAND LETTER"01/26/2018"
842996"2017922282"Repeat Offender"1255 ABERDEEN DR, HARVEY"10/10/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/10/2017"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/16/2017"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/09/2018"
842779"2017922187"Repeat Offender"1201 ABERDEEN DR, HARVEY"10/9/2017"HIGH WEEDS ON LOT"PMZ - WEED CONTROL"10/09/2017""1201 ABERDEEN DR"HARVEY""
842780"2017922188"Repeat Offender"1201 ABERDEEN DR, HARVEY"10/9/2017"HIGH WEEDS ON LOT"PMZ - WEED CONTROL"10/09/2017"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"LETTER RETURNED"02/08/2018"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/09/2018"
839884"2017921195"Repeat Offender"1200 ABERDEEN DR, HARVEY"9/25/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"09/25/2017"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"LETTER RETURNED"02/08/2018"
833861"2017919037"Repeat Offender"1255 ABERDEEN DR, HARVEY"8/28/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/28/2017"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"08/16/2017"
831456"2017918187"Repeat Offender"1200 ABERDEEN DR, HARVEY"8/17/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/17/2017"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"
830745"2017917949"Repeat Offender"1255 ABERDEEN DR, HARVEY"8/15/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/15/2017"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/26/2017"
830774"2017917958"Repeat Offender"1201 ABERDEEN DR, HARVEY"8/15/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/15/2017"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"
829363"2017917331"Repeat Offender"1201 ABERDEEN DR, HARVEY"8/9/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/09/2017"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"
829250"2017917267"Repeat Offender"1200 ABERDEEN DR, HARVEY"8/8/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/08/2017"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"
827818"2017916761"Repeat Offender"1100 ABERDEEN DR, HARVEY"8/2/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/02/2017"SCOTSDALE"1100 ABERDEEN DR"HARVEY"W"COMPLAINT ENTERED/DATE"08/02/2017"COMPLAINT RECEIVED"08/02/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/05/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/05/2017"
819707"2017913735"Repeat Offender"1200 ABERDEEN DR, HARVEY"6/28/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/28/2017"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"
819719"2017913739"Repeat Offender"1201 ABERDEEN DR, HARVEY"6/28/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/28/2017"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"
819490"2017913628"Repeat Offender"1255 ABERDEEN DR, HARVEY"6/27/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/27/2017"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/09/2017"
819501"2017913633"Repeat Offender"1232 ABERDEEN DR, HARVEY"6/27/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/27/2017"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/09/2017"
813992"2017911670"Repeat Offender"1232 ABERDEEN DR, HARVEY"6/5/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/05/2017"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/19/2017"
814097"2017911685"Repeat Offender"1200 ABERDEEN DR, HARVEY"6/5/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/05/2017"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"
813539"2017911469"Repeat Offender"1255 ABERDEEN DR, HARVEY"6/1/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/01/2017"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/19/2017"
791636"2017903334"Repeat Offender"1201 ABERDEEN DR, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"LETTER RETURNED"07/21/2017"COMMENT"07/11/2017"DEMAND LETTER"06/14/2017"COMMENT"06/12/2017"COMMENT"05/25/2017"COMMENT"05/01/2017"COMMENT"04/17/2017"BILLED"03/29/2017"COMMENT"03/15/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/13/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/09/2018"
791474"2017903588"Repeat Offender"1232 ABERDEEN DR, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SCOTTSDALE"1232 ABERDEEN DR"HARVEY"W"COMMENT"08/18/2017"COMMENT"08/01/2017"COMMENT"07/11/2017"LETTER RETURNED"06/21/2017"DEMAND LETTER"06/14/2017"COMMENT"06/12/2017"COMMENT"05/25/2017"COMMENT"05/01/2017"MAIL CORRESPONDANCE"04/27/2017"COMMENT"04/17/2017"BILLED"03/29/2017"COMMENT"03/15/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/13/2017"MAIL CORRESPONDANCE"03/13/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791469"2017903665"Repeat Offender"1255 ABERDEEN DR, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"COMMENT"07/11/2017"LETTER RETURNED"07/02/2017"DEMAND LETTER"06/14/2017"COMMENT"06/12/2017"COMMENT"05/25/2017"COMMENT"05/01/2017"MAIL CORRESPONDANCE"04/27/2017"COMMENT"04/17/2017"BILLED"03/29/2017"COMMENT"03/15/2017"MAIL CORRESPONDANCE"03/14/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/13/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/09/2018"
791505"2017903769"Repeat Offender"1200 ABERDEEN DR, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"COMMENT"07/11/2017"DEMAND LETTER"06/14/2017"COMMENT"06/12/2017"COMMENT"05/25/2017"COMMENT"05/01/2017"COMMENT"04/17/2017"BILLED"03/29/2017"COMMENT"03/15/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/13/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
775970"2016923858"Repeat Offender"1200 ABERDEEN DR, HARVEY"10/31/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/31/2016"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"LETTER RETURNED"03/20/2017"DEMAND LETTER"02/20/2017"
776001"2016923862"Repeat Offender"1201 ABERDEEN DR, HARVEY"10/31/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/31/2016"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"LETTER RETURNED"03/20/2017"DEMAND LETTER"02/20/2017"
773446"2016922960"Repeat Offender"1255 ABERDEEN DR, HARVEY"10/18/2016"REPETITIVE CUT"PMZ - WEED CONTROL"10/18/2016"SCOTSDALE"1255 ABERDEEN DR"HARVEY"W"ADVALOREM TAX ORDINANCE"05/03/2017"LETTER RETURNED"03/01/2017"DEMAND LETTER"02/10/2017"
769299"2016921447"Repeat Offender"1201 ABERDEEN DR, HARVEY"9/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/26/2016"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"DEMAND LETTER"01/13/2017"
769364"2016921467"Repeat Offender"1200 ABERDEEN DR, HARVEY"9/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/26/2016"SCOTSDALE"1200 ABERDEEN DR"HARVEY"W"DEMAND LETTER"01/13/2017"
762287"2016918798"Repeat Offender"1201 ABERDEEN DR, HARVEY"8/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/23/2016"SCOTSDALE"1201 ABERDEEN DR"HARVEY"W"LETTER RETURNED"02/14/2017"DEMAND LETTER"02/03/2017"
